name,addr,addr_more,comment_num,score,phone_number,decoration_time,open_time,lowest_price
北京海阳光青年旅馆,海淀区,海淀区海淀桥北海淀路北京大学南门对面中成大厦九层,423,4.6,010-62613411,2012,2010,112
7天连锁酒店(北京南站角门西地铁站店),丰台区,丰台区角门路2号院（千百家农副产品市场旁）,512,4.6,010-58312977/58312862,2011,2011,210
行者居连锁宾馆,丰台区,丰台区东铁营南窑村35号（近美廉美）,293,4.6,010-67602899,2011,2011,179
汉庭(北京国贸双井地铁站店),朝阳区,朝阳区东三环南路48号（近双井桥）,843,4.6,010-67766600,2010,2010,417
7天连锁酒店(北京朝阳公园地铁站店),朝阳区,朝阳区团结湖东里12号E座（妇产医院对面胡同内30米）,411,4.6,010-85969788,2010,2010,284
汉庭(北京中关村学院桥店),海淀区,海淀区学院路31号（学院桥西北侧）,202,4.6,010-82326688,2010,2010,560
蓝海宾馆(三元桥店),朝阳区,朝阳区三源里街13号楼,130,4.6,010-64679558/64689558,2010,2010,217
北京新侨诺富特饭店,东城区,东城区崇文门西大街1号,319,4.6,010-65133366,2008,1954,827
富驿时尚(燕莎店),朝阳区,朝阳区麦子店西街39号,157,4.6,010-65848000,2008,2008,384
如家酒店(北京国展左家庄店),朝阳区,朝阳区左家庄中街4号,2398,4.6,010-64686868,2007,2007,246
御乔轩快捷酒店,朝阳区,朝阳区十里河家具大道1号,1897,4.5,010-67498787,2018,2018,247
希岸·轻雅酒店(北京西站店),西城区,西城区莲花河胡同1号院1号楼,571,4.5,010-63483891/13811435111,2018,2018,369
北京鹏博瀚连锁酒店,西城区,西城区大栅栏西街6号（现7天连锁酒店）,140,4.5,010-63030790,2018,2017,209
世源商务酒店,朝阳区,朝阳区建国门外大街永安里中街25号（距永安里地铁站LG大厦出口500米）,127,4.5,010-65682121,2018,2012,362
HappyHouse非凡青年旅舍(朝阳大悦城店),朝阳区,朝阳区珠江罗马嘉园107号院30栋（朝阳大悦城旁，青年路站A口100米）,113,4.5,18310062297,2018,2018,72
鑫达宾馆(天坛东门地铁站店),东城区,东城区天坛东路13号（交通银行南口胡同内）,2707,4.5,010-67061696,2017,2010,118
速8酒店(北京前门珠市口西大街店),西城区,西城区珠市口西大街石头胡同65号（距离虎坊桥地铁518米）,2095,4.5,010-63011382,2017,2017,308
7天优品酒店(北京国贸店),朝阳区,朝阳区西大望路下甸厂坡村16号（八王坟长途汽车站对面，通惠小镇旁）,1000,4.5,010-87722666,2017,2007,294
西国贸水会酒店,丰台区,丰台区丰管路16号（丰益桥西，北京西国贸大酒店副楼）,595,4.5,010-83832333,2017,2017,354
译夫宾馆(国展店),朝阳区,朝阳区西坝河路西坝河北里26号院四号楼（太阳宫乡政府隔壁）,515,4.5,010-64460591/13671173132,2017,2017,242
速8酒店(北京长椿街地铁站西便门店),西城区,西城区西二环西便门东里13号楼一层大堂（天宁寺桥东北角）,479,4.5,010-63150155,2017,2017,338
7天连锁酒店(北京广安门内地铁站店),西城区,西城区广安门内大街德源胡同8号（菜百黄金向西100米/浦发银行南面）,381,4.5,010-83910377,2017,2015,453
粮仓国际青年旅舍,西城区,西城区掌扇胡同22号（与煤市街交汇处）,349,4.5,010-63180226,2017,2015,80
23号快捷酒店,海淀区,海淀区永定路23号院,267,4.5,010-88269980,2017,2017,286
运7酒店(馨洁园店),朝阳区,朝阳区朝阳路35号,149,4.5,010-85762098,2017,2017,220
布丁酒店(北京天坛南门店),丰台区,丰台区南二环蒲黄榆二里12号,1322,4.5,010-56257868/67673536,2016,2016,158
万萃苑商务快捷酒店(德胜门店),西城区,西城区人定湖西里13号楼（自动化研究所北门）,1226,4.5,010-62046180/62047909,2016,2010,244
